symbol	ncbi_gene_id
Zfp30	22693
Zfp35	22694
Zfp36	22695
Zfp37	22696
Zscan21	22697
Zfp39	22698
Zfp40	22700
Zfp41	22701
Zfp42	22702
Zfp46	22704
Zfp51	22709
Zfp52	22710
Zfp54	22712
Zfp57	22715
Zfp59	22717
Zfp60	22718
Zfp61	22719
Zfp62	22720
Zfp64	22722
Zfp85rs1	22746
Zfp9	22750
Zfp90	22751
Zfp92	22754
Zfp93	22755
Zfp94	22756
Zkscan5	22757
Zscan12	22758
Zfp97	22759
Zfpm1	22761
Zfpm2	22762
Zfr	22763
Zfx	22764
Zfy1	22767
Zfy2	22768
Zhx1	22770
Zic1	22771
Zic2	22772
Zic3	22773
Zic4	22774
Zik1	22775
Zim1	22776
Ikzf1	22778
Ikzf2	22779
Ikzf4	22781
Ash2l	23808
Banf1	23825
Klf6	23849
Dido1	23856
Dmtf1	23857
Ets1	23871
Ets2	23872
Fiz1	23877
Mid2	23947
Nr0b2	23957
Nr2e3	23958
Osr1	23967
Med24	23989
Rnf13	24017
Spry1	24063
Spry2	24064
Spry4	24066
Sra1	24068
Sufu	24069
Taf10	24075
Vax2	24113
Zfp53	24132
Zfp68	24135
Zeb2	24136
Ing1	26356
Ciao1	26371
Rfwd2	26374
Esrra	26379
Esrrb	26380
Esrrg	26381
Hsf4	26386
Ifi202b	26388
Nr5a1	26423
Nr5a2	26424
Creb3l1	26427
Zfp146	26465
Zfp260	26466
Cops5	26754
Casp8ap2	26885
Cops6	26893
Med14	26896
Figla	26910
Zfp346	26919
Foxl2	26927
Brd7	26992
Etv3	27049
Irf5	27056
Ncoa4	27057
Zfp275	27081
Tlx3	27140
Dbf4	27214
Mixl1	27217
Trp53bp1	27223
Zfp354b	27274
Npas3	27386
Snf8	27681
Ing4	28019
Med10	28077
Limd1	29806
Mga	29808
Ndrg2	29811
Ndrg3	29812
Dpf1	29861
Rnf11	29864
Scmh1	29871
Hdgfrp3	29877
Zfp292	30046
Spdef	30051
Foxe3	30923
Snai3	30927
Zfp330	30932
Lmcd1	30937
Pttg1	30939
Hnf4g	30942
Zfp354c	30944
Rnf19a	30945
E2f6	50496
Sall2	50524
Fbxw7	50754
Klf13	50794
Dmrt1	50796
Solh	50817
Rnf10	50849
Keap1	50868
Nsbp1	50887
Olig2	50913
Olig1	50914
Irx4	50916
Mcrs1	51812
Ccnc	51813
Rnf24	51902
Ankrd22	52024
Ppp1r10	52040
Zfp644	52397
E2f7	52679
Zfp410	52708
Zkscan6	52712
Rufy3	52822
Pnrc2	52830
Batf	53314
Ube2k	53323
Atoh7	53404
Htatip2	53415
Hif3a	53417
Ybx2	53422
Nono	53610
Cnot4	53621
Insm1	53626
Bat2	53761
Zranb2	53861
Rfx5	53970
Deaf1	54006
Irf7	54123
Irf3	54131
Lsr	54135
Irf6	54139
Myst4	54169
Cpsf4	54188
Rnf5	54197
Zfp316	54201
Atf7ip	54343
Irx5	54352
Zfp326	54367
Barhl1	54422
Nfat5	54446
Mkrn1	54484
Dll4	54485
Foxo4	54601
Paf1	54624
Pqbp1	54633
Sfmbt1	54650
Zfp108	54678
Plagl2	54711
Fezf2	54713
Rcan1	54720
Hes6	55927
Sertad1	55942
Pdzrn3	55983
Trim3	55992
Smad9	55994
Tusc4	56032
Ccnl2	56036
Msgn1	56184
Rbm38	56190
Ttrap	56196
Heyl	56198
Patz1	56218
Zfp386	56220
Cited4	56222
Mycbp	56309
Zfp113	56314
Aatf	56321
Rybp	56353
Zmym3	56364
Arid3b	56380
Spen	56381
Trip4	56404
Ncoa6	56406
Rbx1	56438
Csda	56449
Mbtps1	56453
Foxo1	56458
Snd1	56463
Pias1	56469
Foxo3a	56484
Zbtb20	56490
Elf4	56501
Ankrd49	56503
Ruvbl1	56505
Rnf138	56515
Zfp235	56525
Ankrd2	56642
Ccnl1	56706
Zfp111	56707
Plag1	56711
Litaf	56722
Rnf14	56736
Mbnl1	56758
Ascl3	56787
D3Ertd300e	56790
Zbtb33	56805
Gmeb1	56809
Insm2	56856
Zfp109	56869
Rnf32	56874
Sap30bp	57230
Tbx20	57246
Zfp276	57247
Brd4	57261
Th1l	57314
C1d	57316
Zc3h8	57432
Rhox4b	57737
Zfp112	57745
Jmy	57748
Fhl5	57756
Tbx21	57765
Rbak	57782
Hic2	58180
Sall1	58198
A730008L03Rik	58202
Zbtb32	58206
Bcl11b	58208
Rnf8	58230
Eid1	58521
Trim54	58522
Mlxipl	58805
Repin1	58887
Pole3	59001
Pias4	59004
Sh3rf1	59009
Edf1	59022
Med12	59024
Ppp2r3c	59032
Rnf130	59044
Zfp191	59057
Bhlhb5	59058
Nrip2	60345
Foxj2	60611
Zfp296	63872
Sav1	64010
Yeats4	64050
Mllt1	64144
Foxb1	64290
Irx6	64379
Sp5	64406
Zfp280b	64453
Nmi	64685
Zfp110	65020
Zic5	65100
Nif3l1	65102
Asb1	65247
Asb4	65255
Asb2	65256
Asb3	65257
Rogdi	66049
0610009B22Rik	66050
Zfp524	66056
1110005A23Rik	66118
Tipin	66131
Anapc11	66156
Med7	66213
Zdhhc12	66220
Trappc2	66226
Ing5	66262
Klf15	66277
1700018B24Rik	66332
Blzf1	66352
Snw1	66354
Rnf113a2	66381
Exoc2	66482
Zmat2	66492
Zmynd11	66505
2210012G02Rik	66526
Drap1	66556
Dzip1	66573
Gtf3a	66596
Trim13	66597
5730410I19Rik	66622
5730403B10Rik	66626
5730577I03Rik	66662
Ccnh	66671
Spryd4	66701
Sbds	66711
4921520G13Rik	66729
4931406I20Rik	66743
Rnf186	66825
Btbd14b	66830
Trim35	66854
Lztr1	66863
1200003I07Rik	66869
Rnf128	66889
Bzw2	66912
Pbrm1	66923
Fank1	66930
1700023B02Rik	66935
Trim59	66949
Zdhhc6	66980
Rassf7	66985
Thap4	67026
Mkrn2	67027
Pmf1	67037
Syap1	67043
Ndc80	67052
Yaf2	67057
Cand2	67088
Zfp787	67109
Bfar	67118
Nrarp	67122
Ikzf5	67143
Rnf141	67150
Zfp329	67230
Zkscan14	67235
Zfp422	67255
Lass4	67260
Zc3h13	67302
Zfp606	67370
Brd3	67382
Xab2	67439
Trim62	67525
4930430A15Rik	67575
Rnf41	67588
2810426N06Rik	67607
Rnf125	67664
1700020N01Rik	67692
Rnf149	67702
Itgb3bp	67733
Zfp639	67778
Ilf2	67781
Sec14l2	67815
Nmral1	67824
Zfp169	67911
Zcchc3	67917
Hcfc2	67933
Ssxb1	67985
2310039E09Rik	68016
Rnf146	68031
Zfp593	68040
Pdcd2l	68079
Eif3h	68135
Hsbp1	68196
Zdhhc21	68268
Ciz1	68379
Phf5a	68479
Zfp579	68490
Ankra2	68558
Trim37	68729
Zfp740	68744
Rreb1	68750
Cgrrf1	68755
Phtf2	68770
Taf11	68776
Tulp4	68842
Maf1	68877
Zfp467	68910
Med27	68975
Zdhhc3	69035
Zc3h15	69082
Trim15	69097
Cnot8	69125
Kbtbd3	69149
Qrich1	69232
Zfp688	69234
Zfp397	69256
Elf2	69257
Ing2	69260
Asb9	69299
2310001H12Rik	69504
Pcgf3	69587
Zfp33b	69623
Pir	69656
Trip13	69716
Smyd3	69726
Casz1	69743
Med30	69790
Med6	69792
Trim32	69807
Pcgf1	69837
Tcf23	69852
Zfp219	69890
Zfp715	69930
Rnf113a1	69942
2810021J22Rik	69944
1700029I01Rik	70005
Dopey2	70028
Zdhhc25	70073
Ifi35	70110
Mllt3	70122
Dpf3	70127
Med23	70208
Zfp619	70227
Rnf168	70238
Asb12	70392
Mier2	70427
Rufy2	70432
Atad2	70472
Rnf167	70510
Zdhhc2	70546
Zc3h11a	70579
Ecd	70601
Zdhhc24	70605
Med26	70625
Prdm16	70673
Prdm5	70779
Zdhhc1	70796
Ankib1	70797
Trim69	70928
Phf6	70998
Tmem30c	71027
Pcgf6	71041
Hsfy2	71066
Atoh8	71093
Zfp689	71131
Rfx4	71137
Mier1	71148
Dmrtc2	71241
Arid5b	71371
Foxn3	71375
Ankrd40	71452
Bcor	71458
Obox1	71468
8430426H19Rik	71508
Zfp251	71591
Cdc5l	71702
Cic	71722
Ing3	71777
Klhl5	71778
Zbtb43	71834
Phf7	71838
Zswim2	71861
Lass5	71949
Nanog	71950
Rnf135	71956
Cdca4	71963
1500005I02Rik	72014
Zfp654	72020
Phf10	72057
Cnot2	72068
Zbed3	72114
2610008E11Rik	72128
Wdfy3	72145
Zbtb46	72147
Zfp157	72154
Zfp661	72180
Mms19	72199
Plekhf1	72287
Asb6	72323
2210409E12Rik	72381
Brap	72399
Zfp131	72465
Zfp566	72556
Bclaf1	72567
Lin9	72568
Zfp655	72611
Anks3	72615
Zfp444	72667
Zfp248	72720
Zfp74	72723
Zkscan3	72739
Nfkbil2	72749
Prdm4	72843
Ccnt2	72949
Nfatc4	73181
Gpbp1	73274
Hbp1	73389
Prox2	73422
1700065O13Rik	73451
2410081M15Rik	73680
Ankrd42	73845
Phf19	74016
4921501E09Rik	74042
Asz1	74068
Zfp263	74120
Foxp4	74123
Rnf6	74132
1300003B13Rik	74149
Nfx1	74164
Dtx2	74198
Fblim1	74202
Rbm26	74213
1700045I19Rik	74264
Kcmf1	74287
Rnf145	74315
Hopx	74318
Crtc2	74343
Zfp84	74352
Lonrf3	74365
Zfp819	74400
Sohlh2	74434
Batf2	74481
Gzf1	74533
4930432O21Rik	74670
Trim14	74735
Purg	75029
Zfp509	75079
Ankrd7	75196
Rhox2a	75199
Rnf121	75212
Pelp1	75273
Zbtb3	75291
Mphosph8	75339
Jarid1b	75605
Rai14	75646
Phf14	75725
Klf17	75753
Rnf139	75841
Zfp821	75871
Dcp1a	75901
Zdhhc20	75965
Zmym2	76007
Rnf183	76072
Pcgf5	76073
Med13l	76199
Dnttip1	76233
Ndfip2	76273
Asb5	76294
Tbx18	76365
Ankrd36	76389
Mib2	76580
Trim12	76681
Snip1	76793
Jmjd2c	76804
Spopl	76857
Dcun1d5	76863
Lass2	76893
Phf15	76901
2210418O10Rik	76958
2210418O10Rik	76958
Arfgap2	77038
Ston1	77057
Ocel1	77090
6720457D02Rik	77117
9130221H12Rik	77124
Nkrf	77286
C330002I19Rik	77480
Stk31	77485
Prdm8	77630
Zfp422rs1	77652
Krba1	77827
A030003K21Rik	77913
Ankrd56	78088
Zfp687	78266
Creb3l4	78284
Zfyve20	78287
1700034E13Rik	78414
Helz	78455
Asb8	78541
Nrip3	78593
Zfp449	78619
Brd8	78656
Zc3h6	78751
Brpf1	78783
Tsc22d4	78829
Zfp623	78834
Asb15	78910
Trim42	78911
Sp2	78912
9130019O22Rik	78921
Zfp319	79233
Trim39	79263
Bhlhb3	79362
Spz1	79401
Abtb1	80283
Zxdc	80292
Pbx4	80720
Mynn	80732
Rnf34	80751
Cblc	80794
Nfkbiz	80859
Trim2	80890
Zfhx4	80892
Zfp202	80902
Dtx3	80904
Trim44	80985
Trim23	81003
Tbl1xr1	81004
Zfp313	81018
Zbtb22	81630
Jundm2	81703
Bat4	81845
Tcfcp2l1	81879
Zfpl1	81909
Tcfap4	83383
Sp6	83395
Glis2	83396
Lin28	83557
Trps1	83925
Tbx19	83993
Hes7	84653
Snurf	84704
Trim8	93679
Zfp192	93681
Klf7	93691
Aff4	93736
Rnf111	93836
