species	MGI	UniProtKB	gene	ID
MOUSE	2442600	Q4VC17	A disintegrin and metalloproteinase with thrombospondin motifs 18	Adamts18
MOUSE	2443955	Q6P1C6	Leucine-rich repeats and immunoglobulin-like domains protein 3	Lrig3
MOUSE	3044955	Q80XH2	Interphotoreceptor matrix proteoglycan 2	Impg2
MOUSE	109249	P97857	A disintegrin and metalloproteinase with thrombospondin motifs 1	Adamts1
MOUSE	98373	P07214	SPARC	Sparc
MOUSE	95794	A2ARV4	Low-density lipoprotein receptor-related protein 2	Lrp2
MOUSE	2685642	Q9EPW4	C-type lectin domain family 3 member A	Clec3a
MOUSE	1918272	Q8BZ60	Stonin-2	Ston2
MOUSE	1914639	Q8R2Z0	Protein FAM132A	Fam132a
MOUSE	95489	Q61554	Fibrillin-1	Fbn1
MOUSE	1929214	Q8R2R9	AP-3 complex subunit mu-2	Ap3m2
MOUSE	1924268	Q99MQ5	Collagen alpha-1(XXV) chain	Col25a1
MOUSE	2155091	Q91VF5	EMI domain-containing protein 1	Emid1
MOUSE	3588199	E9PY62	Protein Cntnap3	Cntnap3
MOUSE	3045253	Q66PY1	"Signal peptide, CUB and EGF-like domain-containing protein 3"	Scube3
MOUSE	1920951	Q80T91	Multiple epidermal growth factor-like domains protein 11	Megf11
MOUSE	99914	P02468	Laminin subunit gamma-1	Lamc1
MOUSE	109347	P51885	Lumican	Lum
MOUSE	96614	O70309	Integrin beta-5	Itgb5
MOUSE	2182619	Q8K406	Leucine-rich repeat LGI family member 3	Lgi3
MOUSE	98941	Q8CIZ8	von Willebrand factor	Vwf
MOUSE	1315205	Q9R1B9	Slit homolog 2 protein	Slit2
MOUSE	2155345	Q91VF6	Collagen alpha-1(XXVI) chain	Col26a1
MOUSE	3643623	Q0V8T9	Contactin-associated protein like 5-1	Cntnap5a
MOUSE	1298229	O88322	Nidogen-2	Nid2
MOUSE	109278	Q62000	Mimecan	Ogn
MOUSE	2653243	Q8K4G2	Collagen alpha-1(XXIII) chain	Col23a1
MOUSE	88446	Q61245	Collagen alpha-1(XI) chain	Col11a1
MOUSE	2385287	Q8VCC9	Spondin-1	Spon1
MOUSE	3606476	Q6PGN1	Protein FAM132B	Fam132b
MOUSE	1315192	O35125	Leucine-rich repeat-containing protein 23	Lrrc23
MOUSE	1101355	Q61810	Latent-transforming growth factor beta-binding protein 3	Ltbp3
MOUSE	1350918	O35103	Osteomodulin	Omd
MOUSE	99915	Q61087	Laminin subunit beta-3	Lamb3
MOUSE	3036284	E9Q7T7	Protein Chadl	Chadl
MOUSE	2442689	Q91YK0	Leucine-rich repeat-containing protein 49	Lrrc49
MOUSE	3026647	Q6RKD8	Fibronectin leucine rich transmembrane protein 1	Flrt1
MOUSE	1202064	O55225	Otogelin	Otog
MOUSE	1354387	Q9QZJ6	Microfibrillar-associated protein 5	Mfap5
MOUSE	106206	P97333	Neuropilin-1	Nrp1
MOUSE	1096362	E9Q7X7	Protein Nrxn2	Nrxn2
MOUSE	3042378	A2AFR3	FERM and PDZ domain-containing protein 4	Frmpd4
MOUSE	1341188	Q9R1A3	Netrin-3	Ntn3
MOUSE	1916320	E9PUN6	Protein Adamts9	Adamts9
MOUSE	2152907	Q8K4Q8	Collectin-12	Colec12
MOUSE	2685097	B1AWG4	Protein Lrrc37a (Fragment)	Lrrc37a
