species	MGI	UniProtKB	gene	ID
MOUSE	2136730	Q91Y08	Protein Pcdhb1	Pcdhb1
MOUSE	1916014	Q8BL00	Cadherin-related family member 3	Cdhr3
MOUSE	3643623	Q0V8T9	Contactin-associated protein like 5-1	Cntnap5a
MOUSE	3646464	A2AHM1	Protein Gm5072	Gm8914
MOUSE	99668	Q62230	Sialoadhesin	Siglec1
MOUSE	1196466	O55111	Desmoglein-2	Dsg2
MOUSE	2384918	Q8R3G9	Tetraspanin-8	Tspan8
MOUSE	1917946	Q8BQJ2	Protein 3830417A13Rik	3830417A13Rik
MOUSE	104616	P51678	Probable C-C chemokine receptor type 3	Ccr3
MOUSE	2136757	Q91Y01	MCG141286	Pcdhb19
MOUSE	1917997	Q922J6	Tetraspanin-2	Tspan2
MOUSE	1855700	O55134	Protocadherin-12	Pcdh12
MOUSE	95499	P08101	Low affinity immunoglobulin gamma Fc region receptor II	Fcgr2
MOUSE	88229	P08607	C4b-binding protein	C4bpa
MOUSE	1925619	Q9ERM2	Intercellular adhesion molecule 4	Icam4
MOUSE	105303	P35343	C-X-C chemokine receptor type 2	Cxcr2
MOUSE	1101355	Q61810	Latent-transforming growth factor beta-binding protein 3	Ltbp3
MOUSE	96777	P16045	Galectin-1	Lgals1
MOUSE	107436	P70408	Cadherin-10	Cdh10
MOUSE	2444736	Q8BMN4	Leishmanolysin-like peptidase	Lmln
MOUSE	104692	F7BJK1	Protein Pcdh1 (Fragment)	Pcdh1
MOUSE	104617	P51676	C-C chemokine receptor 1-like protein 1	Ccr1l1
MOUSE	2444710	Q2EY15	Protogenin	Prtg
MOUSE	1915438	Q80X82	Symplekin	Sympk
MOUSE	1277207	O88410	C-X-C chemokine receptor type 3	Cxcr3
MOUSE	1202064	O55225	Otogelin	Otog
MOUSE	1298406	O88689	Protocadherin alpha-4	Pcdha4
MOUSE	3053558	Q68SN8	Fc receptor-like protein 5	Fcrl5
MOUSE	106206	P97333	Neuropilin-1	Nrp1
