species	MGI	UniProtKB	gene	ID
MOUSE	95957	P06339	"H-2 class I histocompatibility antigen, D-37 alpha chain"	H2-T23
MOUSE	1330833	P01633	Ig kappa chain V19-17	Igk-V19-17
MOUSE	3039602	Q8K4F0	CD226 antigen	Cd226
MOUSE	97479	Q8R4K8	Pappalysin-1	Pappa
MOUSE	1913539	Q8R1M8	Mucosal pentraxin	Mptx1
MOUSE	1860488	Q9CQW3	Vitamin K-dependent protein Z	Proz
MOUSE	94869	P70211	Netrin receptor DCC	Dcc
MOUSE	104965	Q60736	Zona pellucida sperm-binding protein 3 receptor	Zp3r
MOUSE	97771	P33587	Vitamin K-dependent protein C	Proc
MOUSE	108443	P51437	Cathelin-related antimicrobial peptide	Camp
MOUSE	3643587	J3QNZ9	Protein Igkv4-62	Igkv4-62
MOUSE	98937	P13373	Immunoglobulin omega chain	Vpreb2
MOUSE	3605069	Q6PHB0	Interleukin-20 receptor subunit alpha	Il20ra
MOUSE	2441950	Q80TS3	Latrophilin-3	Lphn3
MOUSE	101902	Q60653	Killer cell lectin-like receptor 6	Klra6
MOUSE	1926944	Q9R1W5	Calcitonin gene-related peptide type 1 receptor	Calcrl
MOUSE	3624119	Q5YIR8	"C-type lectin domain family 4, member a4"	Clec4a4
MOUSE	1920904	O35457	C-C chemokine receptor-like 2	Ccrl2
MOUSE	1889272	Q8R5M8	Cell adhesion molecule 1	Cadm1
MOUSE	1336162	Q9WTJ9	Natural killer cell protein group 2-C1	Klrc2
MOUSE	98229	P12246	Serum amyloid P-component	Apcs
MOUSE	1914385	Q9CQX3	BPI fold-containing family A member 5	Bpifa5
MOUSE	1915759	Q6RUU0	Pentraxin-4	Ptx4
MOUSE	98221	P05366	Serum amyloid A-1 protein	Saa1
MOUSE	1277954	O88786	Interleukin-13 receptor subunit alpha-2	Il13ra2
MOUSE	1918059	Q9D676	C-type lectin domain family 2 member G	Clec2g
MOUSE	109477	O08602	Retinoic acid early-inducible protein 1-alpha	Raet1a
MOUSE	1201689	Q9R233	Tapasin	Tapbp
MOUSE	103163	Q64726	Zinc-alpha-2-glycoprotein	Azgp1
MOUSE	2441837	Q80ZF8	Brain-specific angiogenesis inhibitor 3	Bai3
MOUSE	1195969	E9Q6M9	Protein Lilra6	Lilra6
MOUSE	1330819	O70458	Oncostatin-M-specific receptor subunit beta	Osmr
MOUSE	96788	P42703	Leukemia inhibitory factor receptor	Lifr
