Ligand.ApprovedSymbol	ligand_mouse	Receptor.ApprovedSymbol	receptor_mouse
CCL28	Ccl28	CCR10	Ccr10
CCL28	Ccl28	CCR3	Ccr3
CCL2	Ccl2	ACKR2	Ackr2
CCL2	Ccl2	ACKR4	Ackr4
CCL2	Ccl2	CCR1	Ccr1l1
CCL2	Ccl2	CCR10	Ccr10
CCL2	Ccl2	CCR2	Ccr5
CCL2	Ccl2	CCR3	Ccr3
CCL2	Ccl2	CCR4	Ccr4
CCL2	Ccl2	CCR5	NA
CCL2	Ccl2	DARC	NA
CCL3L1	NA	CCR1	Ccr1l1
CCL3L1	NA	CCR3	Ccr3
CCL3L1	NA	CCR5	NA
CCL3L3	Ccl3	ACKR2	Ackr2
CCL3L3	Ccl3	CCR5	NA
CCL3	Ccl3	ACKR2	Ackr2
CCL3	Ccl3	CCR1	Ccr1l1
CCL3	Ccl3	CCR3	Ccr3
CCL3	Ccl3	CCR4	Ccr4
CCL3	Ccl3	CCR5	NA
CCL4	Ccl4	ACKR2	Ackr2
CCL4	Ccl4	CCR1	Ccr1l1
CCL4	Ccl4	CCR3	Ccr3
CCL4	Ccl4	CCR5	NA
CCL4	Ccl4	CCR8	Ccr8
CCL5	Ccl5	ACKR2	Ackr2
CCL5	Ccl5	ACKR4	Ackr4
CCL5	Ccl5	CCR1	Ccr1l1
CCL5	Ccl5	CCR3	Ccr3
CCL5	Ccl5	CCR4	Ccr4
CCL5	Ccl5	CCR5	NA
CCL5	Ccl5	CXCR3	Cxcr3
CCL5	Ccl5	DARC	NA
CCL5	Ccl5	GPR75	Gpr75
CCL5	Ccl5	SDC1	Sdc1
CCL5	Ccl5	SDC4	Sdc4
CCL7	Ccl7	ACKR2	Ackr2
CCL7	Ccl7	ACKR4	Ackr4
CCL7	Ccl7	CCR1	Ccr1l1
CCL7	Ccl7	CCR10	Ccr10
CCL7	Ccl7	CCR2	Ccr5
CCL7	Ccl7	CCR3	Ccr3
CCL7	Ccl7	CCR5	NA
CCL7	Ccl7	CXCR3	Cxcr3
CCL7	Ccl7	DARC	NA
CCL8	Ccl8	ACKR2	Ackr2
CCL8	Ccl8	ACKR4	Ackr4
CCL8	Ccl8	CCR1	Ccr1l1
CCL8	Ccl8	CCR2	Ccr5
CCL8	Ccl8	CCR3	Ccr3
CCL8	Ccl8	CCR5	NA
CCL8	Ccl8	DARC	NA
CD14	Cd14	ITGA4	Itga4
CD14	Cd14	ITGB1	Itgb1
CD24	Cd24a	SELP	Selp
CD34	Cd34	SELL	Sell
CD34	Cd34	SELP	Selp
CD40LG	Cd40lg	CD40	Cd40
CD40LG	Cd40lg	ITGAM	Itgam
CD40LG	Cd40lg	ITGB2	Itgb2
CD40LG	Cd40lg	TRAF3	Traf3
CD55	Cd55	CD97	NA
CD55	Cd55	CR1	Cr1l
CD55	Cd55	EMR2	NA
CD5L	Cd5l	CD5	Cd5
CD70	Cd70	CD27	Cd27
CDH1	Cdh1	CDH2	Cdh2
CDH1	Cdh1	EGFR	Egfr
CDH1	Cdh1	ERBB3	Erbb3
CDH1	Cdh1	IGF1R	Igf1r
CDH1	Cdh1	ITGAE	Itgae
CDH1	Cdh1	ITGB7	Itgb7
CDH1	Cdh1	KLRG1	Klrg1
CDH1	Cdh1	LRP5	Lrp5
CDH1	Cdh1	PTPRF	Ptprf
