myAUC	avg_diff	power	pct.1	pct.2	gene	cluster
Arrdc4	0.544	0.512658268309256	0.0880000000000001	0.144	0.058	Arrdc4	mTEC
B3gnt2	0.544	0.510134826478803	0.0880000000000001	0.141	0.055	B3gnt2	mTEC
Atf3	0.543	1.11149927618214	0.0860000000000001	0.136	0.051	Atf3	mTEC
H2-Aa	0.543	1.29433545643222	0.0860000000000001	0.39	0.366	H2-Aa	mTEC
Ifitm1	0.543	0.542658432215786	0.0860000000000001	0.254	0.173	Ifitm1	mTEC
Bmp2	0.54	0.677879584875365	0.0800000000000001	0.126	0.048	Bmp2	mTEC
Gsdmd	0.539	0.505998371662267	0.0780000000000001	0.134	0.057	Gsdmd	mTEC
AA467197	0.534	0.976339879175125	0.0680000000000001	0.236	0.18	AA467197	mTEC
Cxcl14	0.534	0.673734456693299	0.0680000000000001	0.126	0.059	Cxcl14	mTEC
Srgn	0.534	1.19077793660826	0.0680000000000001	0.107	0.041	Srgn	mTEC
Ch25h	0.532	0.727492341838869	0.0640000000000001	0.115	0.052	Ch25h	mTEC
Tbc1d4	0.532	0.840485739254785	0.0640000000000001	0.139	0.077	Tbc1d4	mTEC
Irgm1	0.531	0.570728087723361	0.0620000000000001	0.175	0.116	Irgm1	mTEC
Stat1	0.528	0.608199476900376	0.056	0.364	0.332	Stat1	mTEC
Prnp	0.516	0.559523594881653	0.032	0.241	0.217	Prnp	mTEC
H2-Ab1	0.493	0.674636154479266	0.014	0.691	0.829	H2-Ab1	mTEC
Iigp1	0.487	1.18662813334788	0.026	0.194	0.239	Iigp1	mTEC
Ackr4	0.454	-0.511878696446395	0.092	0.024	0.116	Ackr4	cTEC
Mfap4	0.454	-0.618634012164869	0.092	0.018	0.109	Mfap4	cTEC
Gpx3	0.448	-0.514162308262117	0.104	0.039	0.143	Gpx3	cTEC
Ada	0.447	-0.533143816444261	0.106	0.047	0.152	Ada	cTEC
Cyp26b1	0.446	-0.581784600042357	0.108	0.029	0.136	Cyp26b1	cTEC
Hgsnat	0.444	-0.514192777480803	0.112	0.094	0.203	Hgsnat	cTEC
